date,load,temp
2004-01-01,748385.0,42.36363636
2004-01-01,721958.0,41.27272727
2004-01-01,698239.0,39.63636364
2004-01-01,691621.0,36.27272727
2004-01-01,710256.0,34.63636364
2004-01-01,732744.0,34.72727273
2004-01-01,762721.0,32.63636364
2004-01-01,788243.0,31.45454545
2004-01-01,820242.0,32.45454545
2004-01-01,829195.0,38.81818182
2004-01-01,836567.0,45.90909091
2004-01-01,827794.0,50.63636364
2004-01-01,805903.0,54.18181818
2004-01-01,763179.0,55.72727273
2004-01-01,732743.0,56.72727273
2004-01-01,726781.0,57.09090909
2004-01-01,769328.0,55.36363636
2004-01-01,881407.0,50.45454545
2004-01-01,900997.0,44.72727273
2004-01-01,897879.0,41.54545455
2004-01-01,880749.0,40.27272727
2004-01-01,847634.0,38.72727273
2004-01-01,806401.0,39.90909091
2004-01-01,755167.0,40.63636364
2004-01-02,726714.0,41.54545455
2004-01-02,720410.0,42.18181818
2004-01-02,717180.0,43.45454545
2004-01-02,721939.0,44.36363636
2004-01-02,734523.0,45.09090909
2004-01-02,787530.0,44.90909091
2004-01-02,835289.0,45.36363636
2004-01-02,904175.0,45.09090909
2004-01-02,944115.0,45.45454545
2004-01-02,978493.0,45.90909091
2004-01-02,977376.0,47.45454545
2004-01-02,961048.0,49.36363636
2004-01-02,931839.0,50.72727273
2004-01-02,900240.0,52.81818182
2004-01-02,867097.0,54.18181818
2004-01-02,842078.0,55.81818182
2004-01-02,869949.0,56.18181818
2004-01-02,955495.0,52.81818182
2004-01-02,970093.0,49.36363636
2004-01-02,962870.0,47.72727273
2004-01-02,945063.0,46.36363636
2004-01-02,905325.0,45.36363636
2004-01-02,853187.0,46.18181818
2004-01-02,787816.0,45.90909091
2004-01-03,752655.0,45.81818182
2004-01-03,721812.0,46.81818182
2004-01-03,715896.0,45.81818182
2004-01-03,703076.0,45.72727273
2004-01-03,716171.0,45.54545455
2004-01-03,737940.0,45.27272727
2004-01-03,776576.0,45.72727273
2004-01-03,824659.0,46.36363636
2004-01-03,862798.0,47.72727273
2004-01-03,884470.0,51.63636364
2004-01-03,878293.0,56.54545455
2004-01-03,854239.0,61.0
2004-01-03,815153.0,66.09090909
2004-01-03,779946.0,68.90909091
2004-01-03,751494.0,70.54545455
2004-01-03,742897.0,70.72727273
2004-01-03,768266.0,69.36363636
2004-01-03,837567.0,66.45454545
2004-01-03,849720.0,63.45454545
2004-01-03,828256.0,62.18181818
2004-01-03,810831.0,61.36363636
2004-01-03,775697.0,61.36363636
2004-01-03,729960.0,61.09090909
2004-01-03,674420.0,60.81818182
2004-01-04,619059.0,61.0
2004-01-04,597000.0,60.45454545
2004-01-04,585846.0,60.54545455
2004-01-04,576834.0,60.63636364
2004-01-04,581767.0,60.09090909
2004-01-04,590266.0,60.09090909
2004-01-04,624164.0,59.81818182
2004-01-04,677064.0,59.72727273
2004-01-04,737218.0,59.63636364
2004-01-04,785399.0,61.27272727
2004-01-04,779411.0,63.36363636
2004-01-04,767854.0,66.27272727
2004-01-04,775621.0,68.54545455
2004-01-04,764067.0,69.27272727
2004-01-04,767019.0,69.18181818
2004-01-04,778591.0,69.09090909
2004-01-04,821897.0,68.18181818
2004-01-04,890150.0,66.18181818
2004-01-04,901586.0,63.72727273
2004-01-04,886464.0,62.09090909
2004-01-04,879233.0,60.09090909
2004-01-04,846202.0,58.54545455
2004-01-04,784307.0,58.90909091
2004-01-04,726095.0,58.36363636
2004-01-05,698824.0,58.54545455
2004-01-05,688642.0,57.81818182
2004-01-05,690601.0,57.72727273
2004-01-05,708587.0,57.81818182
2004-01-05,728307.0,57.90909091
2004-01-05,810673.0,58.18181818
2004-01-05,944757.0,57.90909091
2004-01-05,1004195.0,58.27272727
2004-01-05,989823.0,57.0
2004-01-05,984984.0,57.81818182
2004-01-05,992864.0,58.0
2004-01-05,967938.0,58.09090909
2004-01-05,958053.0,58.27272727
2004-01-05,952279.0,58.45454545
2004-01-05,937428.0,57.90909091
2004-01-05,940198.0,57.90909091
2004-01-05,966967.0,57.63636364
2004-01-05,1046923.0,56.27272727
2004-01-05,1076876.0,54.54545455
2004-01-05,1069271.0,52.27272727
2004-01-05,1044607.0,50.72727273
2004-01-05,1001437.0,49.09090909
2004-01-05,933856.0,47.36363636
2004-01-05,866932.0,44.45454545
2004-01-06,834870.0,43.18181818
2004-01-06,825509.0,42.54545455
2004-01-06,818972.0,40.72727273
2004-01-06,841418.0,39.90909091
2004-01-06,873892.0,38.27272727
2004-01-06,957395.0,37.27272727
2004-01-06,1089204.0,36.0
2004-01-06,1154223.0,34.90909091
2004-01-06,1113538.0,34.72727273
2004-01-06,1094517.0,37.18181818
2004-01-06,1079719.0,39.63636364
2004-01-06,1055568.0,40.63636364
2004-01-06,1045151.0,41.81818182
2004-01-06,1040977.0,41.90909091
2004-01-06,1030584.0,41.90909091
2004-01-06,1034637.0,41.90909091
2004-01-06,1090809.0,40.36363636
2004-01-06,1231425.0,37.09090909
2004-01-06,1270117.0,35.18181818
2004-01-06,1276978.0,33.18181818
2004-01-06,1265434.0,30.72727273
2004-01-06,1234206.0,29.09090909
